categoria;num_contratos;valor_total;valor_medio;pct_contratos;pct_valor
Serviços de TI;1057;16360745472.66;26303449.31;12.89;64.29
Infraestrutura e Obras;1667;3010070682.59;3657437.04;20.32;11.83
Outros;3122;2330092847.15;1786881.02;38.06;9.16
Limpeza e Manutenção;529;2011087593.97;8978069.62;6.45;7.9
Transporte e Veículos;746;637691725.76;1334083.11;9.1;2.51
Educação;305;433789799.4;1936561.6;3.72;1.7
Saúde;521;406230099.32;1599331.1;6.35;1.6
Consultoria e Assessoria;135;121584237.85;1558772.28;1.65;0.48
Segurança;76;83384242.88;1667684.86;0.93;0.33
Alimentação;34;52623386.82;3095493.34;0.41;0.21
Locação de Imóveis;10;301319.24;60263.85;0.12;0.0
