valorcontrato1;duracao_dias;fornecedor_num_contratos;fornecedor_valor_medio;fornecedor_num_orgaos;orgao_num_contratos;orgao_valor_medio;orgao_num_fornecedores;anomaly_if;anomaly_score_if;anomaly_lof;anomaly_score_lof
21258.84;364.0;177;1756316.0664233577;44;45;69127.272;34;1;-0.5641391496641838;0;-1.1310860750818095
5761652.99;790.0;64;8471801.304814814;18;994;5290699.8067473015;304;1;-0.5627086937245344;0;-0.9974923373708757
45111.36;364.0;177;1756316.0664233577;44;239;2272039.6559724137;144;1;-0.5783589111105112;0;-1.8763489302266525
135334.08;544.0;177;1756316.0664233577;44;19;45481.820008333336;17;1;-0.59532891741563;0;-1.0225770167003452
270668.16;544.0;177;1756316.0664233577;44;98;372946.0689754386;65;1;-0.5647922672136413;0;-0.9489443747960596
810749.16;365.0;177;1756316.0664233577;44;11;409864.7905454546;10;1;-0.5939327543420615;0;-1.0166491325724258
45111.36;365.0;177;1756316.0664233577;44;186;496326.99582168675;116;1;-0.5611911181558308;0;-0.9751191223021948
524652.48;364.0;177;1756316.0664233577;44;186;496326.99582168675;116;1;-0.5620632530166875;0;-0.9750981205907878
25056352.9;2005.0;19;5721878.591111111;5;994;5290699.8067473015;304;1;-0.5755379156935608;0;-1.637452121761381
729976268.81;2006.0;3;621762716.245;1;994;5290699.8067473015;304;1;-0.7259128726203039;1;-16.860114257899472
249839914.0;2006.0;5;109553104.16;1;994;5290699.8067473015;304;1;-0.7107035407594219;1;-6.962435214920157
1005483.32;364.0;177;1756316.0664233577;44;386;347776.97516666667;220;1;-0.6118905248424896;0;-2.1136475258909675
384539.4;364.0;177;1756316.0664233577;44;18;958638.3887499999;16;1;-0.582605002067757;0;-1.019133500391202
124730.64;365.0;177;1756316.0664233577;44;45;2180513.832988889;41;1;-0.5721275365705951;0;-1.3442533711902587
583643.88;364.0;177;1756316.0664233577;44;11;409864.7905454546;10;1;-0.5892127876862578;0;-1.0166491325724256
335581.8;364.0;177;1756316.0664233577;44;15;113127.01599999999;9;1;-0.5836346735921449;0;-1.0166491325724256
321191.64;364.0;177;1756316.0664233577;44;146;163764141.82162738;108;1;-0.6376120531922721;0;-2.7335969170266567
401890.665;364.0;57;240448.24251607145;34;146;163764141.82162738;108;1;-0.5719080043205677;0;-1.1901552924541217
