numerocontrato;anocontrato;orgaocontratante;razaonomecontratado;valorcontrato1;categoria;fornecedor_local
2901.0339/2004;2004.0;SECRETARIA DE ASSSTÊNCIA SOCIAL E COMBATE À FOME;CONSELHO PASTORAL DOS PESCADORES;5100.0;Outros;Não Identificado
1401.0244/2007;2007.0;SECRETARIA DE EDUCAÇÃO;ANA CRISTINA SANTOS DE AZEVEDO;5400.0;Educação;Não Identificado
2001.0171/2007;2007.0;SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA;JOÃO DIMAS DE BARROS;173684.71;Outros;Não Identificado
2001.0221/2010;2010.0;SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA;ZUMIRA CELESTINA DE BARROS.;54267.89;Outros;Não Identificado
6101.0001/2013;2013.0;AUTARQUIA MUNICIPAL DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES;PETROCARD ADMINISTRADORA DE CREDITO LTDA;19720.44;Serviços de TI;Local (PE)
6101.0003/2013;2013.0;AUTARQUIA MUNICIPAL DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES;GUARDSECURE SEGURANCA EMPRESARIAL LTDA;291199.56;Segurança;Local (PE)
6101.0011/2013;2013.0;AUTARQUIA MUNICIPAL DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES;FOCO OPINIÃO E MERCADO LTDA EPP;44325.5;Saúde;Não Local
5010.6020/2013;2013.0;EMLURB - AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA;LOQUIPE LOCACAO DE EQUIPAMENTOS E MAO DE OBRA LTDA;10729487.95;Limpeza e Manutenção;Local (PE)
1401.0041/2013;2013.0;SECRETARIA DE EDUCAÇÃO;MXM GRAFICA E EMBALAGENS LTDA;15210.0;Outros;Local (PE)
1401.0042/2013;2013.0;SECRETARIA DE EDUCAÇÃO;JOYCE KAREN FRANCISCA DE MELO - ME;51148.0;Outros;Local (PE)
1401.0205/2013;2013.0;SECRETARIA DE EDUCAÇÃO;PLAY PARK DIVERSÕES ALFÂNDEGA LTDA -ME;2036009.48;Educação;Não Identificado
6101.0002/2014;2014.0;AUTARQUIA MUNICIPAL DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES;CRISTIANE DIAS DE ARAUJO  EPP;2275.0;Outros;Local (PE)
6101.0004/2014;2014.0;AUTARQUIA MUNICIPAL DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES;AJ SERVICOS DE MAO DE OBRA EIRELI;155890.2;Infraestrutura e Obras;Local (PE)
6101.0013/2013;2014.0;AUTARQUIA MUNICIPAL DE PREVIDENCIA E ASSISTENCIA A SAUDE DOS SERVIDORES;LOCAVEL SERVICOS LTDA;17758.8;Transporte e Veículos;Não Local
2401.0033/2014;2014.0;CONTROLADORIA GERAL DO MUNICÍPIO;FENIX MERCANTIL INCORPORADORA E TERCEIRIZACAO EIRELI ME;42612.0;Outros;Local (PE)
2401.0070/2014;2014.0;CONTROLADORIA GERAL DO MUNICÍPIO;PERNAMBUCO CONSERVADORA LTDA;22073.28;Infraestrutura e Obras;Local (PE)
2401.0270/2014;2014.0;CONTROLADORIA GERAL DO MUNICÍPIO;R P L ENGENHARIA E SERVICOS LTDA;21258.84;Consultoria e Assessoria;Local (PE)
6407.0002/2014;2014.0;CONVIVA MERCADOS E FEIRAS - AUTARQUIA MUNICIPAL;SOLIVETTI COMERCIO SERVICOS LTDA;13200.0;Outros;Local (PE)
6407.0004/2013;2014.0;CONVIVA MERCADOS E FEIRAS - AUTARQUIA MUNICIPAL;MARINHO CONSTRUCOES LTDA;541453.55;Infraestrutura e Obras;Local (PE)
6407.0010/2014;2014.0;CONVIVA MERCADOS E FEIRAS - AUTARQUIA MUNICIPAL;CORINTHO ENGENHARIA LTDA;389867.66;Infraestrutura e Obras;Local (PE)
